Epoch [130/2000], Step [20/20], Gen. Loss: 0.3791, Disc Loss: 1.1284, Trained module: generator
Epoch [131/2000], Step [20/20], Gen. Loss: 2.0854, Disc Loss: 0.3341, Trained module: discriminator
Epoch [132/2000], Step [20/20], Gen. Loss: 0.3632, Disc Loss: 1.1618, Trained module: generator
Epoch [133/2000], Step [20/20], Gen. Loss: 2.2739, Disc Loss: 0.3124, Trained module: discriminator
Epoch [134/2000], Step [20/20], Gen. Loss: 0.3808, Disc Loss: 1.1728, Trained module: generator
Epoch [135/2000], Step [20/20], Gen. Loss: 2.2247, Disc Loss: 0.3214, Trained module: discriminator
Epoch [136/2000], Step [20/20], Gen. Loss: 0.3469, Disc Loss: 1.2462, Trained module: generator
Epoch [137/2000], Step [20/20], Gen. Loss: 2.2787, Disc Loss: 0.3179, Trained module: discriminator
Epoch [138/2000], Step [20/20], Gen. Loss: 0.3811, Disc Loss: 1.1380, Trained module: generator
Epoch [139/2000], Step [20/20], Gen. Loss: 2.1256, Disc Loss: 0.3218, Trained module: discriminator
Epoch [140/2000], Step [20/20], Gen. Loss: 0.3460, Disc Loss: 1.1937, Trained module: generator
Epoch [141/2000], Step [20/20], Gen. Loss: 2.2831, Disc Loss: 0.3086, Trained module: discriminator
Epoch [142/2000], Step [20/20], Gen. Loss: 0.3667, Disc Loss: 1.1979, Trained module: generator
Epoch [143/2000], Step [20/20], Gen. Loss: 2.2846, Disc Loss: 0.3118, Trained module: discriminator
Epoch [144/2000], Step [20/20], Gen. Loss: 0.3470, Disc Loss: 1.2758, Trained module: generator
Epoch [145/2000], Step [20/20], Gen. Loss: 2.2378, Disc Loss: 0.3227, Trained module: discriminator
Epoch [146/2000], Step [20/20], Gen. Loss: 0.3809, Disc Loss: 1.1513, Trained module: generator
Epoch [147/2000], Step [20/20], Gen. Loss: 2.2464, Disc Loss: 0.3123, Trained module: discriminator
Epoch [148/2000], Step [20/20], Gen. Loss: 0.3595, Disc Loss: 1.2467, Trained module: generator
Epoch [149/2000], Step [20/20], Gen. Loss: 2.2961, Disc Loss: 0.3199, Trained module: discriminator
Epoch [150/2000], Step [20/20], Gen. Loss: 0.3739, Disc Loss: 1.1466, Trained module: generator
Epoch [151/2000], Step [20/20], Gen. Loss: 2.2121, Disc Loss: 0.3165, Trained module: discriminator
Epoch [152/2000], Step [20/20], Gen. Loss: 0.3683, Disc Loss: 1.1726, Trained module: generator
